IND, PLAYER, TEAM, AGE, GP, W, L, MIN, OFFRTG, DEFRTG, NETRTG, AST%, AST/TO, AST_RATIO, OREB%, DREB%, REB%, TO_RATIO, EFG%, TS%, USG%, PACE, PIE, POSS
1, Austin Reaves , LAL, 25, 66, 36, 30, 31.6, 114.5, 116.5, -2.0, 24.3, 2.56, 27.4, 2.1, 10.5, 6.5, 10.7, 57.5, 62.2, 19.7, 101.89, 10.7, 4436
1, Buddy Hield , PHI, 31, 66, 35, 31, 27.0, 118.5, 117.5, 1.0, 14.7, 2.42, 20.6, 2.4, 10.1, 6.1, 8.5, 57.2, 58.3, 18.3, 102.57, 8.3, 3814
3, Bobby Portis , MIL, 29, 65, 42, 23, 24.0, 117.1, 117.4, -0.3, 7.1, 1.19, 8.6, 6.8, 22.5, 14.7, 7.2, 55.2, 57.4, 21.9, 101.29, 11.3, 3296
3, Dennis Schroder , BKN, 30, 65, 24, 41, 30.5, 113.7, 115.8, -2.1, 27.8, 3.38, 30.2, 1.3, 7.8, 4.5, 8.9, 52.4, 56.2, 19.7, 99.12, 9.5, 4097
3, Mikal Bridges , BKN, 27, 65, 26, 39, 35.4, 112.2, 114.4, -2.1, 16.5, 1.79, 15.5, 2.1, 11.0, 6.5, 8.6, 52.1, 56.4, 24.7, 98.93, 10.9, 4743
3, Naz Reid , MIN, 24, 65, 44, 21, 23.5, 110.8, 104.5, 6.3, 7.6, 0.90, 8.7, 4.1, 15.7, 10.1, 9.7, 58.4, 60.4, 21.3, 100.35, 11.5, 3196
3, Nickeil Alexander-Walker , MIN, 25, 65, 44, 21, 23.3, 111.7, 106.0, 5.8, 15.2, 2.75, 25.6, 2.0, 6.4, 4.3, 9.3, 54.2, 55.9, 13.7, 100.36, 6.7, 3172
3, Obi Toppin , IND, 26, 65, 36, 29, 21.9, 119.6, 117.8, 1.9, 8.3, 1.71, 14.7, 4.7, 13.1, 8.9, 8.5, 65.3, 66.8, 15.8, 105.33, 9.4, 3130
9, Andre Drummond , CHI, 30, 64, 31, 33, 17.1, 114.1, 113.7, 0.3, 4.1, 0.43, 5.3, 18.8, 32.1, 25.2, 12.3, 55.0, 56.5, 20.3, 97.61, 14.9, 2227
9, Cason Wallace , OKC, 20, 64, 45, 19, 20.4, 114.9, 111.0, 3.9, 8.7, 2.93, 18.9, 3.3, 7.5, 5.5, 6.4, 61.8, 62.8, 12.4, 101.59, 7.1, 2763
