IND, PLAYER, GP, W, L, MIN, EST._OFFRTG, EST._DEFRTG, EST._NETRTG, EST._AST_RATIO, EST._OREB%, EST._DREB%, EST._REB%, EST._TO_RATIO, EST._USG%, EST._PACE
1, Buddy Hield, 66, 35, 31, 27, 116.8, 117.1, -0.3, 20.5, 2.7, 11.4, 6.9, 8.5, 18.8, 103.49,
1, Austin Reaves, 66, 36, 30, 32, 113.5, 115.2, -1.7, 27.2, 2.4, 11.8, 7.3, 10.6, 20.4, 102.88,
3, Obi Toppin, 65, 36, 29, 22, 118.8, 116.7, 2.0, 14.6, 5.4, 15.0, 10.2, 8.5, 16.2, 106.18,
3, Bobby Portis, 65, 42, 23, 24, 117.0, 116.0, 1.0, 8.6, 7.7, 25.6, 16.6, 7.2, 22.5, 101.92,
3, Naz Reid, 65, 44, 21, 24, 110.5, 103.5, 7.0, 8.7, 4.7, 17.8, 11.6, 9.7, 22.0, 100.96,
3, Nickeil Alexander-Walker, 65, 44, 21, 23, 112.6, 105.2, 7.4, 25.6, 2.3, 7.2, 4.9, 9.3, 14.3, 100.36,
3, Mikal Bridges, 65, 26, 39, 35, 110.8, 113.4, -2.6, 15.4, 2.4, 12.5, 7.3, 8.6, 25.2, 100.00,
3, Dennis Schroder, 65, 24, 41, 31, 112.8, 115.2, -2.4, 30.1, 1.5, 8.7, 5.1, 8.9, 20.2, 99.80,
9, Tyus Jones, 64, 11, 53, 29, 109.7, 120.2, -10.5, 39.2, 1.1, 9.3, 5.1, 5.3, 16.3, 105.81,
9, Collin Sexton, 64, 28, 36, 25, 116.2, 117.9, -1.7, 21.8, 3.6, 7.3, 5.5, 9.0, 27.0, 103.82,
9, Jeremy Sochan, 64, 14, 50, 30, 106.7, 114.8, -8.1, 20.7, 6.6, 16.2, 11.4, 11.5, 18.5, 103.33,
9, Chet Holmgren, 64, 45, 19, 30, 118.8, 110.1, 8.7, 15.5, 6.3, 21.3, 14.3, 9.3, 21.3, 102.80,
9, Cason Wallace, 64, 45, 19, 20, 115.9, 109.9, 6.0, 18.9, 3.6, 8.5, 6.2, 6.4, 12.7, 101.73,
9, Jalen Green, 64, 29, 35, 31, 110.2, 112.6, -2.4, 14.6, 1.5, 15.1, 8.3, 9.5, 27.2, 101.46,
9, Jonas Valanciunas, 64, 39, 25, 25, 117.8, 112.0, 5.8, 15.6, 11.9, 30.2, 21.4, 9.9, 20.6, 99.91,
9, Georges Niang, 64, 41, 23, 22, 113.9, 111.4, 2.4, 12.7, 1.7, 16.4, 9.2, 7.9, 17.5, 99.66,
9, Reggie Jackson, 64, 44, 20, 22, 111.9, 112.1, -0.2, 25.8, 1.8, 7.7, 4.9, 8.6, 21.0, 99.64,
9, Paul Reed, 64, 36, 28, 19, 114.4, 113.5, 0.9, 15.9, 13.2, 21.5, 17.2, 8.7, 15.6, 99.43,
