PLAYER, TEAM, AGE, HEIGHT, WEIGHT, COLLEGE, COUNTRY, DRAFT_YEAR, DRAFT_ROUND, DRAFT_NUMBER, GP, PTS, REB, AST, NETRTG, OREB%, DREB%, USG%, TS%, AST%
1, Joel Embiid , PHI, 30, 34, 26, 8, 34.0, 35.3, 11.8, 22.2, 53.3, 1.2, 3.3, 36.6, 10.5, 11.9, 88.3, 2.6, 8.7, 11.3, 5.7, 3.7, 1.1, 1.8, 2.9, 62.4, 27.0, 2.0, 6.9
2, Luka Doncic , DAL, 25, 61, 38, 23, 37.4, 34.1, 11.6, 23.8, 48.8, 3.9, 10.4, 37.6, 7.0, 8.9, 78.5, 0.8, 8.2, 9.0, 9.8, 4.0, 1.5, 0.5, 2.0, 61.7, 41.0, 18.0, 3.2
3, Giannis Antetokounmpo , MIL, 29, 66, 43, 23, 35.0, 30.7, 11.4, 18.6, 61.6, 0.5, 1.7, 29.6, 7.3, 11.0, 66.4, 2.6, 8.7, 11.3, 6.4, 3.4, 1.2, 1.0, 2.9, 56.9, 52.0, 8.0, 5.0
4, Shai Gilgeous-Alexander , OKC, 25, 69, 49, 20, 34.4, 30.5, 10.8, 20.0, 54.1, 1.3, 3.6, 36.7, 7.6, 8.7, 87.2, 0.9, 4.8, 5.6, 6.3, 2.2, 2.1, 0.9, 2.5, 53.6, 8.0, 0.0, 7.8
5, Kevin Durant , PHX, 35, 64, 37, 27, 37.2, 27.5, 10.1, 19.2, 52.6, 2.2, 5.3, 41.4, 5.2, 6.1, 85.6, 0.5, 6.1, 6.6, 5.3, 3.3, 0.9, 1.3, 1.8, 46.7, 13.0, 1.0, 3.7
6, Donovan Mitchell , CLE, 27, 49, 33, 16, 35.4, 27.4, 9.4, 20.2, 46.8, 3.4, 9.1, 37.3, 5.1, 5.9, 86.2, 0.9, 4.4, 5.3, 6.1, 2.9, 1.8, 0.5, 2.2, 46.8, 6.0, 0.0, 7.0
7, Jalen Brunson , NYK, 27, 65, 41, 24, 35.1, 27.4, 9.8, 20.6, 47.5, 2.7, 6.7, 40.2, 5.2, 6.1, 84.2, 0.6, 3.1, 3.6, 6.5, 2.5, 0.9, 0.2, 1.9, 42.4, 5.0, 0.0, 5.3
8, Devin Booker , PHX, 27, 57, 36, 21, 35.7, 27.2, 9.6, 19.4, 49.5, 2.2, 5.9, 36.6, 5.8, 6.6, 88.3, 0.8, 3.9, 4.8, 6.9, 2.5, 0.9, 0.4, 3.0, 44.8, 12.0, 0.0, 4.9
9, Jayson Tatum , BOS, 26, 66, 53, 13, 35.8, 27.1, 9.2, 19.4, 47.3, 3.2, 8.4, 38.0, 5.6, 6.7, 83.1, 0.9, 7.3, 8.2, 4.9, 2.6, 1.0, 0.6, 2.0, 46.6, 23.0, 0.0, 9.2
10, Stephen Curry , GSW, 36, 64, 35, 29, 32.7, 26.8, 8.8, 19.7, 44.8, 4.9, 12.1, 40.4, 4.3, 4.6, 92.3, 0.5, 3.9, 4.5, 4.9, 2.9, 0.8, 0.3, 1.6, 39.9, 6.0, 0.0, 1.5
11, De'Aaron Fox , SAC, 26, 62, 37, 25, 35.7, 26.7, 9.8, 20.9, 46.8, 2.8, 7.7, 36.3, 4.3, 6.0, 72.5, 1.0, 3.5, 4.5, 5.7, 2.7, 2.0, 0.4, 2.6, 45.0, 5.0, 0.0, 2.9
