IND, VS_PLAYER, TEAM, GP, W, L, MIN, OPP_FGM, OPP_FGA, OPP_FG%, OPP_3PM, OPP_3PA, OPP_3P%, OPP_FTM, OPP_FTA, OPP_FT%, OPP_OREB, OPP_DREB, OPP_REB, OPP_AST, OPP_TOV, OPP_STL, OPP_BLK, OPP_BLKA, OPP_PF, OPP_PFD, OPP_PTS, plus_minus
1, Christian Braun, DEN, 75, 52, 23, 48.8, 40.0, 89.9, 44.5, 11.8, 32.2, 36.7, 19.4, 25.0, 77.6, 12.4, 32.6, 45.0, 24.6, 12.5, 6.8, 6.3, 6.5, 18.3, 20.8, 111.2, 2.0
1, Mikal Bridges, BKN, 75, 29, 46, 48.7, 42.2, 88.8, 47.5, 12.6, 33.6, 37.7, 17.2, 21.5, 80.2, 10.2, 35.3, 45.5, 25.6, 12.7, 6.8, 4.8, 5.4, 18.3, 18.6, 114.3, 2.9
1, Andre Drummond, CHI, 75, 36, 39, 49.0, 41.0, 86.8, 47.2, 15.1, 40.3, 37.4, 16.8, 21.0, 80.1, 10.3, 29.5, 39.8, 27.3, 14.1, 7.2, 5.8, 5.5, 22.7, 19.1, 113.8, -0.7
1, Reggie Jackson, DEN, 75, 52, 23, 48.2, 40.2, 87.5, 45.9, 11.8, 31.5, 37.3, 18.2, 23.9, 76.2, 11.0, 31.8, 42.8, 25.7, 11.9, 7.1, 4.8, 5.3, 18.2, 20.0, 110.4, -2.3
1, Georges Niang, CLE, 75, 45, 30, 48.8, 41.4, 88.5, 46.8, 12.8, 35.1, 36.6, 17.6, 22.9, 76.9, 10.4, 32.8, 43.2, 25.4, 12.4, 7.5, 4.7, 4.6, 18.5, 19.3, 113.3, -1.4
1, Austin Reaves, LAL, 75, 42, 33, 47.0, 43.5, 91.2, 47.7, 14.1, 37.2, 38.0, 14.1, 17.5, 80.2, 10.3, 32.4, 42.7, 28.0, 12.3, 7.9, 4.6, 5.4, 20.2, 15.0, 115.3, 0.4
1, Paul Reed, PHI, 75, 40, 35, 49.6, 42.1, 86.6, 48.6, 12.3, 33.9, 36.2, 18.6, 23.9, 77.7, 10.9, 33.4, 44.3, 27.1, 15.9, 6.4, 6.9, 6.2, 17.6, 21.6, 115.0, -1.1
1, Collin Sexton, UTA, 75, 29, 46, 47.1, 43.7, 88.8, 49.2, 14.8, 36.1, 41.0, 17.5, 22.6, 77.5, 10.6, 29.7, 40.3, 29.4, 12.3, 7.7, 6.9, 5.2, 19.3, 18.6, 119.7, 2.3
1, Obi Toppin, IND, 75, 42, 33, 45.7, 43.7, 86.1, 50.8, 9.8, 27.3, 35.9, 20.1, 25.2, 79.9, 10.0, 30.2, 40.2, 23.4, 13.5, 6.7, 5.1, 5.7, 18.2, 21.3, 117.3, -2.1
10, Nickeil Alexander-Walker, MIN, 74, 51, 23, 48.0, 38.1, 85.5, 44.6, 11.5, 32.4, 35.7, 18.1, 23.3, 77.7, 10.2, 31.5, 41.7, 23.8, 14.9, 7.5, 4.1, 6.2, 18.8, 19.6, 105.8, -7.2
