IND, PLAYER, TEAM, AGE, GP, W, L, MIN, DEF_RTG, DREB, DREB%, %DREB, STL, STL%, BLK, %BLK, OPP_PTS/OFF_TOV, OPP_PTS_2ND_CHANCE, OPP_PTS_FB, OPP_PTS_PAINT, DEF_WS
1, Zavier Simpson , MEM, 27, 3, 1, 2, 23.9, 92.6, 1.3, 5.6, 7.4, 1.7, 31.3, 1.0, 42.9, 10.3, 2.7, 6.0, 18.0, 0.213
2, Rudy Gobert , MIN, 31, 72, 51, 21, 34.0, 105.9, 9.1, 25.5, 36.6, 0.6, 12.2, 2.1, 50.5, 12.0, 8.5, 9.4, 30.8, 0.171
3, OG Anunoby , NYK, 26, 46, 27, 19, 34.0, 107.2, 3.3, 9.2, 13.2, 1.4, 24.7, 0.7, 20.8, 10.8, 9.4, 9.7, 34.6, 0.165
4, Anthony Edwards , MIN, 22, 75, 52, 23, 35.1, 107.5, 4.8, 13.2, 19.1, 1.3, 22.7, 0.5, 12.0, 11.9, 8.9, 9.6, 33.7, 0.162
5, Donovan Mitchell , CLE, 27, 53, 34, 19, 35.3, 108.5, 4.3, 11.7, 17.2, 1.8, 29.6, 0.5, 14.7, 11.8, 9.8, 10.1, 34.2, 0.156
6, Franz Wagner , ORL, 22, 70, 43, 27, 32.4, 108.3, 4.3, 13.7, 19.7, 1.0, 18.7, 0.4, 11.3, 10.1, 7.5, 9.9, 31.1, 0.144
7, Karl-Anthony Towns , MIN, 28, 60, 41, 19, 32.8, 108.5, 6.9, 20.5, 29.5, 0.7, 15.2, 0.7, 18.3, 11.0, 8.5, 8.8, 32.3, 0.143
8, Bam Adebayo , MIA, 26, 67, 37, 30, 34.2, 109.4, 8.4, 24.8, 35.6, 1.1, 19.4, 1.0, 37.6, 10.6, 9.4, 9.4, 32.1, 0.140
9, Jayson Tatum , BOS, 26, 72, 57, 15, 35.8, 110.2, 7.3, 18.9, 27.6, 1.0, 20.3, 0.6, 12.1, 9.5, 10.2, 9.5, 35.6, 0.139
10, Maozinha Pereira , MEM, 23, 7, 2, 5, 17.4, 96.5, 3.7, 20.6, 27.4, 0.9, 19.4, 0.6, 33.3, 7.6, 2.1, 6.3, 13.1, 0.138
11, Max Strus , CLE, 28, 67, 41, 26, 32.1, 109.2, 3.8, 11.5, 17.0, 0.9, 16.8, 0.4, 13.8, 11.5, 8.9, 9.4, 30.8, 0.136
12, Naz Reid , MIN, 24, 77, 54, 23, 24.4, 104.6, 4.4, 17.0, 25.1, 0.8, 17.9, 0.9, 26.5, 8.0, 6.5, 6.7, 23.0, 0.135
13, Derrick White , BOS, 29, 71, 58, 13, 32.7, 109.5, 3.6, 10.0, 14.6, 1.0, 22.3, 1.2, 26.0, 8.5, 9.4, 8.6, 32.6, 0.134
14, Mike Conley , MIN, 36, 72, 51, 21, 28.8, 107.3, 2.3, 7.9, 11.6, 1.2, 26.3, 0.2, 5.9, 10.2, 7.9, 7.9, 27.9, 0.134
