IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS_OFF_TO, 2ND_PTS, FBPS, PITP, OPP_PTS_OFF_TO OPP_2ND_PTS, OPP_FBPS, OPP_PITP, BLK, BLKA, PF, PFD
1, Buddy Hield , PHI, 31, 81, 43, 38, 25.9, 2.4, 1.1, 2.4, 3.1, 8.8, 7.7, 7.8, 30.4, 0.5, 0.4, 2.0, 0.5
2, Austin Reaves , LAL, 25, 79, 45, 34, 32.2, 2.0, 0.8, 2.3, 6.1, 11.0, 9.6, 11.0, 34.3, 0.3, 0.6, 1.8, 3.0
2, Dennis Schroder , BKN, 30, 79, 29, 50, 31.0, 1.8, 1.1, 1.0, 4.7, 9.7, 8.9, 9.2, 33.1, 0.2, 0.8, 2.0, 2.3
2, Georges Niang , CLE, 30, 79, 46, 33, 22.3, 0.8, 0.8, 0.9, 2.9, 8.0, 6.3, 6.8, 21.8, 0.2, 0.2, 2.4, 0.7
2, Mikal Bridges , BKN, 27, 79, 31, 48, 35.2, 2.9, 1.9, 2.6, 6.8, 10.9, 10.1, 11.3, 36.0, 0.4, 0.7, 1.4, 3.2
2, Obi Toppin , IND, 26, 79, 45, 34, 21.3, 1.8, 1.3, 2.0, 5.4, 7.2, 6.1, 6.7, 27.2, 0.5, 0.4, 1.7, 1.1
2, Paul Reed , PHI, 24, 79, 44, 35, 19.4, 1.0, 2.1, 0.3, 5.2, 5.5, 5.7, 6.0, 20.6, 1.0, 0.5, 2.4, 1.2
8, Andre Drummond , CHI, 30, 78, 37, 41, 17.3, 1.2, 3.3, 0.3, 6.7, 5.7, 4.9, 4.6, 15.5, 0.6, 0.5, 1.8, 2.4
8, Bobby Portis , MIL, 29, 78, 47, 31, 24.4, 1.6, 2.3, 1.1, 6.3, 6.7, 7.0, 6.5, 26.4, 0.4, 0.4, 2.3, 1.3
8, Cason Wallace , OKC, 20, 78, 53, 25, 20.7, 1.2, 0.6, 1.5, 2.5, 6.9, 6.8, 4.9, 21.4, 0.4, 0.3, 1.6, 0.5
8, Chet Holmgren , OKC, 21, 78, 53, 25, 29.8, 2.2, 2.3, 1.4, 8.4, 8.4, 10.2, 7.6, 29.0, 2.4, 0.8, 2.4, 3.1
8, Christian Braun , DEN, 22, 78, 54, 24, 19.9, 1.3, 0.7, 1.7, 3.6, 6.8, 6.0, 4.8, 19.7, 0.4, 0.6, 1.7, 1.0
8, Collin Sexton , UTA, 25, 78, 29, 49, 26.6, 3.0, 2.1, 3.3, 8.8, 10.7, 7.4, 10.2, 28.5, 0.2, 1.4, 2.0, 3.8
8, Domantas Sabonis , SAC, 27, 78, 45, 33, 35.8, 2.3, 3.6, 1.4, 14.1, 12.2, 7.6, 8.7, 36.8, 0.6, 1.1, 3.0, 4.6
8, Harrison Barnes , SAC, 31, 78, 45, 33, 28.8, 1.5, 1.2, 1.0, 4.1, 9.8, 6.0, 7.1, 30.4, 0.1, 0.3, 1.2, 1.9
8, Jalen Green , HOU, 22, 78, 38, 40, 31.9, 3.2, 1.1, 3.3, 7.3, 9.7, 9.2, 7.8, 32.8, 0.4, 1.4, 1.4, 3.5
8, Jonas Valanciunas , NOP, 31, 78, 46, 32, 23.7, 1.1, 3.0, 0.2, 7.7, 7.2, 6.1, 6.9, 22.2, 0.9, 0.6, 2.7, 2.4
8, Nickeil Alexander-Walker , MIN, 25, 78, 54, 24, 23.5, 1.2, 0.8, 0.9, 2.2, 7.4, 5.9, 6.2, 21.8, 0.5, 0.3, 1.8, 1.0
8, Payton Pritchard , BOS, 26, 78, 62, 16, 21.9, 1.0, 1.2, 1.1, 2.4, 5.8, 5.9, 5.5, 21.7, 0.1, 0.3, 1.3, 0.7
8, Reggie Jackson , DEN, 33, 78, 54, 24, 22.2, 1.4, 0.6, 0.8, 4.4, 7.8, 6.2, 5.8, 22.3, 0.1, 0.4, 1.8, 1.2
21, Cole Anthony , ORL, 23, 77, 46, 31, 22.6, 1.9, 1.0, 1.2, 4.5, 7.7, 5.9, 6.5, 22.1, 0.5, 0.4, 2.2, 2.1
21, Corey Kispert , WAS, 25, 77, 15, 62, 25.4, 1.8, 0.8, 1.9, 4.7, 9.8, 8.6, 7.9, 30.7, 0.2, 0.6, 1.8, 1.5
21, Donte DiVincenzo , NYK, 27, 77, 46, 31, 28.4, 2.5, 1.9, 2.5, 3.5, 8.9, 7.5, 8.4, 27.6, 0.5, 0.4, 2.1, 1.5
21, Jordan Poole , WAS, 24, 77, 15, 62, 30.0, 2.6, 1.1, 2.8, 6.3, 10.3, 10.4, 9.5, 37.2, 0.3, 0.9, 3.1, 2.7
21, Josh Giddey , OKC, 21, 77, 53, 24, 25.2, 1.8, 1.2, 1.9, 7.2, 7.5, 8.4, 6.8, 25.9, 0.5, 0.9, 1.3, 1.2
21, Josh Hart , NYK, 29, 77, 45, 32, 33.1, 1.6, 0.9, 1.7, 4.8, 9.6, 8.3, 9.0, 31.0, 0.3, 0.7, 2.0, 1.5
21, Michael Porter Jr. , DEN, 25, 77, 54, 23, 31.8, 2.6, 2.3, 2.5, 4.8, 9.6, 7.8, 9.4, 33.4, 0.6, 0.5, 1.9, 1.2
21, Naz Reid , MIN, 24, 77, 54, 23, 24.4, 1.9, 1.9, 1.4, 5.7, 8.0, 6.5, 6.7, 23.0, 0.9, 0.7, 2.1, 1.3
21, Pascal Siakam , IND, 30, 77, 36, 41, 33.4, 2.4, 2.8, 3.3, 13.1, 10.2, 9.2, 8.9, 37.8, 0.3, 0.6, 2.4, 4.1
30, Ayo Dosunmu , CHI, 24, 76, 37, 39, 29.1, 2.4, 1.0, 3.0, 5.7, 9.4, 8.4, 8.0, 27.7, 0.5, 0.8, 2.2, 1.1
30, DeMar DeRozan , CHI, 34, 76, 36, 40, 37.7, 3.1, 1.9, 0.9, 8.4, 11.8, 10.3, 9.9, 35.1, 0.6, 0.9, 2.1, 5.5
30, Luguentz Dort , OKC, 24, 76, 51, 25, 28.6, 1.9, 1.0, 1.6, 3.0, 8.7, 9.4, 7.8, 27.7, 0.6, 0.4, 2.9, 2.2
30, Moritz Wagner , ORL, 26, 76, 45, 31, 17.6, 1.8, 1.8, 0.4, 7.2, 6.1, 4.4, 5.6, 17.6, 0.3, 0.5, 2.0, 2.4
30, Paolo Banchero , ORL, 21, 76, 45, 31, 34.9, 3.8, 2.3, 2.9, 9.9, 11.7, 9.2, 11.0, 35.1, 0.6, 1.1, 2.0, 4.7
30, Peyton Watson , DEN, 21, 76, 53, 23, 18.4, 1.0, 0.5, 1.5, 3.7, 6.7, 5.7, 4.8, 18.7, 1.0, 0.4, 1.8, 1.0
36, Aaron Holiday , HOU, 27, 75, 37, 38, 16.2, 0.9, 0.7, 0.5, 1.9, 5.1, 4.5, 3.9, 16.1, 0.1, 0.3, 1.6, 0.8
36, Anthony Edwards , MIN, 22, 75, 52, 23, 35.1, 4.2, 1.7, 3.9, 10.7, 11.9, 8.9, 9.6, 33.7, 0.5, 0.7, 1.8, 4.2
36, Bogdan Bogdanovic , ATL, 31, 75, 35, 40, 30.4, 2.5, 1.8, 2.6, 4.6, 9.8, 7.9, 9.9, 31.4, 0.3, 0.6, 2.3, 1.6
36, Brook Lopez , MIL, 36, 75, 46, 29, 30.7, 0.9, 1.6, 0.2, 5.2, 9.7, 8.7, 9.5, 33.2, 2.4, 0.3, 2.5, 1.5
36, Cameron Payne , PHI, 29, 75, 43, 32, 16.6, 0.8, 0.4, 0.7, 2.2, 4.7, 5.0, 4.6, 17.6, 0.1, 0.3, 1.6, 0.8
36, Coby White , CHI, 24, 75, 35, 40, 36.4, 3.2, 1.4, 3.1, 6.8, 11.7, 10.4, 9.6, 34.2, 0.2, 0.9, 2.4, 3.8
36, Dejounte Murray , ATL, 27, 75, 34, 41, 35.6, 2.9, 1.6, 2.6, 8.8, 12.5, 10.5, 12.6, 40.3, 0.3, 0.9, 1.7, 2.5
36, Kelly Olynyk , TOR, 32, 75, 31, 44, 22.4, 1.2, 1.8, 0.9, 5.0, 9.8, 7.6, 7.9, 24.7, 0.4, 0.3, 2.9, 2.5
36, Kyle Anderson , MIN, 30, 75, 53, 22, 22.8, 0.8, 0.7, 0.5, 4.5, 7.7, 6.1, 6.0, 21.0, 0.6, 0.3, 1.6, 1.3
36, Malik Beasley , MIL, 27, 75, 44, 31, 29.8, 1.9, 1.5, 1.6, 1.8, 8.9, 8.2, 9.1, 32.3, 0.1, 0.4, 2.0, 0.5
36, Nikola Jokic , DEN, 29, 75, 52, 23, 34.6, 2.7, 3.9, 1.0, 16.7, 10.6, 8.2, 10.2, 36.2, 0.9, 0.9, 2.4, 5.5
36, Royce O'Neale , PHX, 30, 75, 35, 40, 24.6, 1.4, 0.9, 0.8, 1.4, 9.0, 6.7, 7.5, 23.6, 0.6, 0.2, 2.2, 0.6
36, Sam Hauser , BOS, 26, 75, 60, 15, 21.7, 1.1, 1.2, 1.3, 1.0, 5.9, 6.0, 4.9, 21.4, 0.3, 0.1, 1.3, 0.2
36, Taurean Prince , LAL, 30, 75, 42, 33, 27.3, 1.3, 0.4, 1.5, 2.6, 9.4, 8.5, 10.1, 29.8, 0.5, 0.3, 1.9, 0.9
36, Tim Hardaway Jr. , DAL, 32, 75, 47, 28, 27.3, 2.0, 1.7, 2.2, 2.8, 8.2, 8.9, 8.7, 29.6, 0.1, 0.4, 1.4, 2.1
51, Aaron Wiggins , OKC, 25, 74, 51, 23, 15.5, 1.1, 1.1, 1.0, 3.6, 4.6, 5.6, 3.6, 15.6, 0.2, 0.4, 1.2, 0.7
51, Anthony Davis , LAL, 31, 74, 43, 31, 35.5, 3.4, 4.5, 1.8, 15.6, 11.9, 10.5, 11.6, 36.5, 2.4, 1.1, 2.3, 5.3
51, Grant Williams , CHA, 25, 74, 33, 41, 28.0, 1.5, 1.4, 1.0, 3.5, 9.4, 8.3, 9.0, 31.3, 0.5, 0.4, 2.9, 2.2
51, Isaiah Joe , OKC, 24, 74, 50, 24, 18.8, 1.5, 0.9, 1.2, 1.2, 6.4, 5.7, 4.3, 17.0, 0.3, 0.2, 1.1, 1.2
51, Jarrett Allen , CLE, 25, 74, 44, 30, 31.7, 1.9, 3.0, 1.1, 12.7, 11.5, 8.4, 9.3, 31.0, 1.1, 0.9, 1.9, 4.4
51, Jeff Green , HOU, 37, 74, 36, 38, 16.8, 0.9, 0.6, 0.5, 2.6, 5.1, 4.6, 4.1, 17.5, 0.4, 0.2, 1.3, 1.4
51, Jeremy Sochan , SAS, 20, 74, 18, 56, 29.6, 1.4, 1.6, 1.7, 6.9, 11.9, 8.3, 9.0, 34.6, 0.5, 0.9, 2.3, 1.8
51, Klay Thompson , GSW, 34, 74, 39, 35, 29.6, 2.3, 2.1, 2.2, 3.0, 10.6, 8.3, 9.3, 32.0, 0.4, 0.3, 1.7, 1.2
51, Myles Turner , IND, 28, 74, 43, 31, 27.1, 1.6, 2.4, 1.1, 7.9, 8.3, 7.4, 7.0, 32.8, 1.9, 0.6, 3.1, 3.4
51, Norman Powell , LAC, 30, 74, 47, 27, 26.2, 2.1, 1.4, 1.8, 4.5, 8.7, 7.8, 8.2, 27.1, 0.3, 0.5, 1.8, 2.0
51, Ochai Agbaji , TOR, 23, 74, 31, 43, 20.5, 0.8, 0.7, 1.3, 2.7, 8.3, 7.0, 6.7, 22.9, 0.5, 0.5, 1.5, 0.6
62, D'Angelo Russell , LAL, 28, 73, 44, 29, 32.5, 2.4, 1.0, 2.6, 5.7, 10.2, 10.5, 10.8, 36.0, 0.5, 0.5, 2.0, 2.3
62, Derrick Jones Jr. , DAL, 27, 73, 45, 28, 23.5, 1.4, 1.1, 1.3, 4.0, 7.7, 6.9, 8.0, 25.2, 0.7, 0.3, 1.6, 1.6
62, Jaden Ivey , DET, 22, 73, 13, 60, 28.8, 1.8, 1.3, 3.1, 6.8, 11.8, 8.1, 8.4, 33.0, 0.5, 1.2, 2.7, 2.9
62, Jalen Brunson , NYK, 27, 73, 45, 28, 35.3, 3.6, 2.1, 2.5, 11.5, 10.3, 9.3, 10.8, 34.8, 0.2, 0.8, 1.9, 6.2
62, Jusuf Nurkic , PHX, 29, 73, 45, 28, 27.3, 1.3, 2.2, 0.2, 7.8, 9.9, 6.6, 8.1, 28.4, 1.0, 0.8, 3.4, 3.1
62, Keegan Murray , SAC, 23, 73, 42, 31, 33.5, 2.5, 2.2, 2.4, 5.5, 11.3, 7.0, 7.5, 34.1, 0.8, 0.5, 2.7, 1.3
62, Malaki Branham , SAS, 20, 73, 17, 56, 21.2, 1.7, 0.8, 1.1, 4.0, 8.5, 6.5, 6.4, 24.8, 0.1, 0.5, 1.2, 0.8
62, Nikola Vucevic , CHI, 33, 73, 35, 38, 34.1, 1.9, 2.6, 0.3, 10.1, 11.2, 9.6, 9.4, 32.1, 0.8, 0.6, 2.5, 1.9
62, Spencer Dinwiddie , LAL, 31, 73, 36, 37, 28.7, 0.8, 0.8, 1.0, 3.2, 8.5, 8.5, 8.8, 30.4, 0.3, 0.2, 1.8, 1.9
62, Tre Jones , SAS, 24, 73, 18, 55, 27.6, 1.5, 1.0, 1.6, 5.7, 10.6, 8.1, 7.5, 31.2, 0.1, 0.4, 1.2, 1.7
