IND, PLAYER, TEAM, AGE, GP, W, L, MIN, %FGA_2PT, %FGA_3PT, %PTS_2PT, %PTS_2PT_MR, %PTS_3PT, %PTS_FBPS, %PTS_FT, %PTS_OFFTO, %PTS_PITP, 2FG_%AST, 2FGM_%UAST, 3FGM_%AST, 3FGM_%UAST, FGM_%AST, FGM_%UAST
1, Buddy Hield , PHI, 31, 81, 43, 38, 25.9, 33.4, 66.6, 30.7, 4.5, 64.3, 20.0, 5.0, 20.2, 26.2, 67.1, 32.9, 92.3, 7.7, 81.8, 18.2
2, Austin Reaves , LAL, 25, 79, 45, 34, 32.2, 55.7, 44.3, 46.9, 8.0, 34.7, 14.7, 18.4, 12.4, 38.9, 41.4, 58.6, 67.4, 32.6, 50.0, 50.0
2, Dennis Schroder , BKN, 30, 79, 29, 50, 31.0, 60.4, 39.6, 47.2, 13.3, 37.1, 7.0, 15.7, 13.0, 34.0, 33.8, 66.2, 82.4, 17.6, 50.5, 49.5
2, Georges Niang , CLE, 30, 79, 46, 33, 22.3, 37.9, 62.1, 36.0, 4.9, 57.2, 10.1, 6.8, 9.1, 31.1, 73.7, 26.3, 97.9, 2.1, 86.1, 13.9
2, Mikal Bridges , BKN, 27, 79, 31, 48, 35.2, 54.8, 45.2, 43.2, 9.2, 40.6, 12.8, 16.2, 14.5, 34.0, 49.1, 50.9, 87.9, 12.1, 64.0, 36.0
2, Obi Toppin , IND, 26, 79, 45, 34, 21.3, 56.4, 43.6, 54.3, 1.0, 36.6, 19.7, 9.1, 17.4, 53.3, 78.9, 21.1, 99.0, 1.0, 85.1, 14.9
2, Paul Reed , PHI, 24, 79, 44, 35, 19.4, 87.8, 12.2, 78.5, 7.3, 11.0, 4.4, 10.5, 14.0, 71.2, 63.6, 36.4, 85.7, 14.3, 65.4, 34.6
8, Andre Drummond , CHI, 30, 78, 37, 41, 17.3, 99.4, 0.6, 80.4, 0.6, 0.0, 4.1, 19.6, 14.4, 79.8, 56.2, 43.8, 0.0, 0.0, 56.2, 43.8
8, Bobby Portis , MIL, 29, 78, 47, 31, 24.4, 72.7, 27.3, 64.5, 18.4, 26.5, 7.8, 9.0, 11.9, 46.1, 55.1, 44.9, 97.9, 2.1, 64.3, 35.7
8, Cason Wallace , OKC, 20, 78, 53, 25, 20.7, 47.3, 52.7, 43.0, 6.7, 51.7, 21.3, 5.3, 17.6, 36.3, 64.7, 35.3, 96.8, 3.2, 78.9, 21.1
8, Chet Holmgren , OKC, 21, 78, 53, 25, 29.8, 63.2, 36.8, 55.0, 4.6, 28.9, 8.3, 16.1, 13.3, 50.4, 64.7, 35.3, 97.6, 2.4, 73.2, 26.8
