IND, PLAYER, TEAM, AGE, GP, W, L, MIN, PTS, FGM, FGA, FG%, 3PM, 3PA, 3P%, FTM, FTA, FT%, OREB, DREB, REB, AST, TOV, STL, BLK, PF, FP, DD2, TD3, plus_minus
1, Joel Embiid , PHI, 30, 37, 29, 8, 33.6, 34.7, 11.6, 21.8, 53.1, 1.2, 3.3, 37.4, 10.3, 11.7, 88.2, 2.5, 8.5, 11.0, 5.5, 3.8, 1.2, 1.7, 2.9, 60.9, 28.0, 2.0, 6.2
2, Luka Doncic , DAL, 25, 68, 44, 24, 37.5, 33.9, 11.5, 23.6, 48.8, 4.0, 10.5, 38.2, 6.9, 8.7, 78.6, 0.8, 8.4, 9.2, 9.8, 4.0, 1.5, 0.5, 2.1, 61.6, 48.0, 20.0, 4.3
3, Giannis Antetokounmpo , MIL, 29, 72, 44, 28, 35.3, 30.7, 11.5, 18.9, 61.1, 0.5, 1.7, 27.4, 7.1, 10.8, 65.8, 2.7, 8.9, 11.6, 6.5, 3.4, 1.2, 1.1, 2.9, 57.7, 57.0, 10.0, 4.5
4, Shai Gilgeous-Alexander , OKC, 25, 71, 51, 20, 34.4, 30.3, 10.7, 19.9, 53.9, 1.3, 3.5, 36.5, 7.5, 8.6, 87.2, 0.9, 4.7, 5.5, 6.3, 2.2, 2.1, 0.9, 2.5, 53.1, 8.0, 0.0, 7.6
5, Jalen Brunson , NYK, 27, 73, 45, 28, 35.3, 28.2, 10.1, 21.2, 47.7, 2.7, 6.7, 39.4, 5.3, 6.3, 84.2, 0.6, 3.1, 3.6, 6.7, 2.5, 0.9, 0.2, 1.9, 43.5, 8.0, 0.0, 6.4
6, Kevin Durant , PHX, 35, 71, 41, 30, 37.1, 27.4, 10.1, 19.1, 52.7, 2.3, 5.4, 41.8, 5.0, 5.8, 85.6, 0.5, 6.2, 6.7, 5.2, 3.3, 0.9, 1.2, 1.8, 46.4, 14.0, 1.0, 3.8
7, Devin Booker , PHX, 27, 64, 40, 24, 35.8, 27.3, 9.6, 19.4, 49.5, 2.2, 6.1, 36.4, 5.9, 6.6, 88.5, 0.8, 3.8, 4.6, 7.0, 2.6, 0.9, 0.4, 3.0, 44.7, 13.0, 0.0, 4.6
8, Jayson Tatum , BOS, 26, 72, 57, 15, 35.8, 27.0, 9.1, 19.4, 47.2, 3.1, 8.2, 37.8, 5.7, 6.8, 83.4, 0.9, 7.3, 8.2, 4.9, 2.6, 1.0, 0.6, 2.0, 46.4, 25.0, 0.0, 9.0
9, De'Aaron Fox , SAC, 26, 70, 41, 29, 35.8, 26.5, 9.7, 20.9, 46.3, 2.8, 7.8, 36.5, 4.3, 5.8, 73.6, 1.0, 3.6, 4.6, 5.6, 2.6, 2.0, 0.4, 2.6, 45.1, 6.0, 0.0, 3.1
10, Stephen Curry , GSW, 36, 71, 41, 30, 32.7, 26.5, 8.8, 19.6, 44.8, 4.8, 11.8, 40.3, 4.1, 4.5, 92.4, 0.5, 3.9, 4.4, 5.0, 2.8, 0.7, 0.3, 1.6, 39.6, 7.0, 0.0, 2.5
11, Donovan Mitchell , CLE, 27, 53, 34, 19, 35.3, 26.4, 9.1, 19.7, 46.1, 3.3, 8.9, 36.5, 5.0, 5.8, 86.3, 0.8, 4.3, 5.1, 6.0, 2.8, 1.8, 0.5, 2.2, 45.8, 6.0, 0.0, 5.9
