IND, PLAYER, TEAM, AGE, GP, W, L, MIN, USG%, %FGM, %FGA, %3PM, %3PA, %FTM, %FTA, %OREB, %DREB, %REB, %AST, %TOV, %STL, %BLK, %BLKA, %PF, %PFD, %PTS
1, Lindell Wigginton , MIL, 26, 3, 3, 0, 8.0, 41.2, 50.0, 45.5, 0.0, 40.0, 100, 100, 0.0, 0.0, 0.0, 0.0, 50.0, 0.0, 0.0, 0.0, 50.0, 100, 54.5
2, Joel Embiid , PHI, 30, 37, 29, 8, 1242.0, 38.8, 39.5, 35.9, 15.4, 15.1, 58.7, 56.9, 36.9, 35.3, 35.7, 28.9, 45.9, 20.1, 43.4, 36.0, 22.0, 52.5, 41.2
3, Izaiah Brockington , NOP, 24, 1, 1, 0, 3.0, 38.5, 40.0, 38.5, 0.0, 25.0, 0.0, 0.0, 25.0, 33.3, 28.6, 0.0, 0.0, 0.0, 0.0, 100, 0.0, 0.0, 33.3
4, Isaiah Wong , IND, 23, 1, 1, 0, 4.0, 37.5, 33.3, 42.9, 0.0, 50.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 33.3
5, Luka Doncic , DAL, 25, 68, 44, 24, 2553.0, 35.4, 33.4, 33.8, 33.7, 33.3, 49.4, 47.7, 11.5, 32.2, 27.7, 49.5, 42.8, 26.4, 13.8, 25.8, 15.1, 42.4, 35.8
6, Giannis Antetokounmpo , MIL, 29, 72, 44, 28, 2539.0, 32.1, 35.7, 29.1, 4.5, 6.2, 48.2, 54.5, 38.1, 34.5, 35.3, 32.3, 37.5, 24.0, 28.2, 40.1, 20.6, 54.2, 34.1
7, Shai Gilgeous-Alexander , OKC, 25, 71, 51, 20, 2444.0, 31.6, 33.1, 30.8, 13.3, 14.3, 53.7, 52.1, 14.1, 19.7, 18.6, 33.2, 27.1, 34.2, 18.8, 28.5, 17.9, 46.1, 34.2
8, LaMelo Ball , CHA, 22, 22, 7, 15, 711.0, 31.5, 29.1, 31.3, 40.9, 39.0, 33.0, 30.0, 16.5, 17.9, 17.5, 47.2, 41.5, 33.3, 6.8, 20.3, 24.5, 30.0, 30.9
9, Anthony Edwards , MIN, 22, 75, 52, 23, 2636.0, 31.4, 29.9, 31.9, 26.3, 28.5, 40.4, 38.1, 9.7, 19.1, 17.1, 26.9, 29.8, 22.7, 12.0, 23.6, 13.1, 29.9, 31.1
10, Victor Wembanyama , SAS, 20, 69, 17, 52, 2039.0, 31.1, 29.8, 30.0, 23.0, 24.0, 44.0, 43.4, 36.1, 39.2, 38.5, 20.1, 37.4, 27.6, 70.6, 14.5, 23.1, 45.1, 31.0
