  PLAYER TEAM AGE GP W L MIN OFFRTG DEFRTG NETRTG AST% AST/TO AST RATIO OREB% DREB% REB% TO RATIO EFG% TS% USG% PACE PIE POSS
1 Buddy Hield PHI 31 69 36 33 26.8 118.2 117.2 1.0 14.8 2.43 20.6 2.3 10.1 6.1 8.5 57.1 58.2 18.4 102.19 8.3 3939
2 Andre Drummond CHI 30 68 33 35 17.0 113.3 113.8 -0.5 4.4 0.46 5.5 18.6 32.3 25.2 12.0 55.5 57.0 20.2 97.81 15.1 2350
2 Austin Reaves LAL 25 68 36 32 31.8 114.5 116.7 -2.3 23.9 2.54 27.1 2.1 10.6 6.5 10.7 57.7 62.2 19.8 101.71 10.7 4583
2 Bobby Portis MIL 29 68 44 24 24.0 117.3 117.5 -0.2 7.2 1.16 8.6 6.7 22.7 14.7 7.4 55.9 58.1 22.0 101.10 11.5 3442
2 Christian Braun DEN 22 68 47 21 19.2 109.9 110.7 -0.8 9.8 2.11 16.7 4.1 12.9 8.6 7.9 52.2 55.4 15.2 98.84 8.1 2680
2 Dennis Schroder BKN 30 68 24 44 30.6 113.0 116.1 -3.0 27.6 3.15 29.7 1.3 7.7 4.5 9.4 52.0 55.9 19.9 99.01 9.4 4304
2 Jeremy Sochan SAS 20 68 15 53 29.7 108.1 115.3 -7.2 16.3 1.81 20.7 6.0 14.6 10.3 11.5 48.8 51.8 18.4 101.98 8.0 4291
2 Mikal Bridges BKN 27 68 26 42 35.3 111.5 114.3 -2.8 16.5 1.79 15.6 2.2 11.1 6.5 8.7 51.6 56.0 24.5 98.93 10.8 4947
2 Obi Toppin IND 26 68 38 30 21.8 119.4 117.4 1.9 8.6 1.78 15.1 4.8 13.1 9.0 8.5 64.7 66.2 15.8 105.33 9.4 3249
2 Reggie Jackson DEN 33 68 47 21 21.9 112.6 111.5 1.2 23.5 2.95 25.4 1.6 6.7 4.2 8.6 50.6 52.4 20.6 99.55 8.2 3094
11 Cason Wallace OKC 20 67 47 20 20.5 114.6 111.1 3.6 8.9 2.71 19.3 3.2 7.6 5.5 7.1 61.9 62.9 12.4 101.49 7.1 2898
11 Chet Holmgren OKC 21 67 47 20 30.2 118.7 110.3 8.4 12.0 1.71 15.5 5.5 19.2 12.8 9.0 60.9 64.0 20.5 102.93 13.3 4322
11 Cole Anthony ORL 23 67 40 27 22.9 111.6 110.8 0.8 20.1 1.88 19.6 3.7 13.8 8.7 10.5 48.2 53.9 22.9 97.63 10.5 3134
11 Collin Sexton UTA 25 67 29 38 25.7 118.2 119.1 -0.9 28.0 2.40 22.1 3.3 6.5 4.9 9.2 55.2 61.3 26.5 102.33 12.2 3671
11 Georges Niang CLE 30 67 42 25 21.9 114.2 112.9 1.3 8.0 1.56 12.6 1.4 14.5 8.1 8.1 55.7 57.5 17.2 99.05 7.1 3032
11 Jalen Green HOU 22 67 32 35 31.1 112.6 113.4 -0.8 16.4 1.55 14.6 1.4 14.0 7.6 9.4 48.7 53.2 26.7 100.24 10.7 4356
11 Jonas Valanciunas NOP 31 67 41 26 24.6 118.4 113.6 4.8 12.5 1.60 15.8 10.6 27.0 19.1 9.9 58.8 62.4 20.3 99.00 13.6 3398
11 Michael Porter Jr. DEN 25 67 47 20 31.7 119.5 112.0 7.5 6.4 1.37 9.1 4.3 17.8 11.1 6.7 59.0 60.5 20.0 97.86 10.7 4350
11 Naz Reid MIN 24 67 46 21 23.6 111.5 104.5 7.0 8.0 1.00 9.3 4.0 16.1 10.3 9.3 58.0 60.0 21.3 100.28 11.6 3313
11 Nickeil Alexander-Walker MIN 25 67 46 21 23.4 112.3 106.0 6.3 14.9 2.63 25.1 2.0 6.6 4.4 9.5 55.7 57.5 13.9 100.40 7.0 3288
11 Ochai Agbaji TOR 23 67 29 38 19.8 110.4 117.2 -6.8 6.2 1.27 13.1 3.8 8.3 6.1 10.3 49.0 50.3 12.9 101.39 4.5 2802
11 Paul Reed PHI 24 67 37 30 19.0 116.4 113.9 2.5 9.3 1.77 15.7 11.8 19.5 15.4 8.8 56.5 58.3 15.4 97.81 10.2 2573
11 Payton Pritchard BOS 26 67 53 14 20.7 121.2 108.7 12.5 18.4 4.13 26.9 4.0 10.7 7.4 6.5 56.0 57.3 15.7 97.43 9.4 2797
24 Ayo Dosunmu CHI 24 66 33 33 28.0 111.4 115.0 -3.6 15.5 2.41 22.0 2.5 7.5 4.9 9.1 57.2 59.1 16.4 98.31 8.0 3785
24 Coby White CHI 24 66 32 34 36.7 114.7 115.2 -0.4 20.9 2.37 21.6 1.6 11.3 6.4 9.1 54.4 58.0 22.4 97.50 10.3 4926
24 Corey Kispert WAS 25 66 11 55 23.4 108.0 120.0 -11.9 11.2 1.59 13.7 1.4 9.2 5.2 8.6 59.4 61.5 19.5 104.09 8.4 3356
24 DeMar DeRozan CHI 34 66 32 34 37.7 112.9 114.6 -1.8 21.8 3.48 19.9 1.5 10.1 5.7 5.7 50.3 58.3 24.3 98.11 12.7 5083
24 Domantas Sabonis SAC 27 66 38 28 35.9 116.8 116.7 0.1 33.5 2.53 31.1 9.5 29.7 19.2 12.3 63.1 65.3 21.9 100.32 17.0 4958
24 Donte DiVincenzo NYK 27 66 40 26 26.9 116.4 113.4 3.0 14.3 1.93 16.2 2.9 10.1 6.4 8.4 57.2 58.6 21.1 97.78 9.7 3611
24 Harrison Barnes SAC 31 66 38 28 29.4 114.4 117.0 -2.6 5.2 1.71 10.1 2.6 7.4 4.9 5.9 59.7 63.0 14.8 101.51 7.1 4107
24 Jordan Poole WAS 24 66 11 55 29.1 109.2 120.6 -11.5 18.9 1.68 17.6 1.2 7.1 4.1 10.5 48.7 52.6 25.5 105.14 6.9 4212
24 Josh Giddey OKC 21 66 47 19 24.5 119.0 112.2 6.8 23.3 2.18 25.3 5.9 18.0 12.3 11.6 50.7 53.0 22.1 102.50 11.4 3465
24 Josh Hart NYK 29 66 39 27 32.1 115.1 109.8 5.3 15.4 2.62 26.3 4.4 20.3 12.2 10.0 49.3 51.9 13.4 96.21 9.9 4249
24 Kelly Olynyk TOR 32 66 29 37 21.3 111.4 117.8 -6.4 27.4 2.45 32.8 6.4 16.6 11.6 13.4 60.9 65.3 16.6 102.10 11.5 2993
